id;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;w19;w20;w21;w22;w23;w24;w25;w26;w27;w28;w29;w30;państwo_oś;macierz_gospodarcze;macierz_społeczne;wykszt_ojca;wykszt_matki;rok_studiów;kierunek_studiów;praca;miejsc_pochodzenia;rok_urodzenia;płeć
g9;2;1;1;1;1;1;2;2;3;1;2;1;3;1;1;3;1;1;3;2;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g10;2;3;2;2;1;2;3;3;2;2;1;3;2;1;2;1;3;b;1;1;1;2;1;1;1;2;2;1;1;2;1;1;2;2;1;1;2;2;1;2;1;2;1;1;2;b;2;1;1;2;2;1;2;3;4;3;3;5;1;sgho;1;2;95;1
g11;1;1;1;2;1;2;2;1;2;2;1;3;3;1;1;1;1;2;1;1;1;2;3;1;2;1;2;1;2;1;2;1;2;2;1;1;2;2;1;2;1;2;1;1;2;2;1;1;1;1;1;1;2;3;3;2;5;5;3;fir;1;4;93;2
g12;2;1;2;2;3;3;3;2;3;2;2;1;1;1;2;1;1;1;1;3;3;3;3;1;2;1;2;1;2;2;1;1;2;2;1;1;1;2;a;2;1;1;2;1;2;2;1;1;1;2;1;2;2;4;3;1;5;5;3;zarz;1;3;92;1
g13;1;2;2;3;1;1;2;3;1;2;2;2;1;1;2;1;1;1;3;1;1;2;1;1;2;1;2;2;2;2;2;1;2;2;1;1;2;2;1;2;1;2;1;1;2;2;2;1;1;2;1;1;2;4;3;2;4;5;3;fir;2;1;93;1
g14;2;2;1;2;1;1;1;2;1;2;a;1;3;1;2;1;1;2;3;3;1;2;1;1;2;1;2;2;1;2;1;1;1;2;1;1;1;2;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;6;3;2;5;5;1;sgho;3;3;95;1
g15;2;2;2;2;1;2;2;2;2;1;2;1;1;1;2;1;1;2;1;1;1;2;1;1;1;2;2;1;1;2;1;2;2;1;1;1;1;2;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;6;2;3;4;5;2;fir;2;1;94;1
g16;2;2;2;2;1;1;1;1;2;2;3;1;1;1;2;2;1;2;1;1;1;2;2;1;1;1;2;2;2;2;2;1;1;2;1;1;2;2;1;2;1;2;1;1;2;1;1;1;1;2;1;1;2;4;4;2;5;5;2;fir;3;4;93;2
g17;2;2;2;2;1;3;1;1;1;2;2;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;1;1;1;1;1;2;2;1;2;2;1;2;1;2;2;1;2;1;1;1;1;2;2;3;2;2;2;2;euro;2;1;94;2
g18;2;2;2;1;1;2;2;3;3;1;1;1;1;1;2;1;3;1;1;1;1;3;3;1;2;2;1;2;2;1;1;2;2;2;1;2;2;1;2;2;2;1;1;1;2;1;1;1;2;2;1;2;1;7;b;bb;4;4;2;ener;2;2;94;2
g19;2;1;2;1;1;a;3;1;2;1;3;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;1;1;2;1;1;2;1;2;1;1;2;2;2;1;1;2;1;2;1;1;2;1;2;6;3;2;5;5;2;ener;3;2;94;2
g20;2;1;2;2;1;2;2;3;2;1;2;1;1;1;1;1;1;2;1;1;1;3;1;1;1;2;1;1;2;2;1;1;2;1;2;1;1;2;1;2;2;2;1;1;2;1;2;2;1;1;2;1;2;5;3;1;5;5;2;ener;3;2;94;2
g21;3;2;1;2;1;2;3;1;1;3;3;2;3;1;2;1;1;3;1;1;1;2;1;1;2;1;1;2;1;1;1;1;2;1;1;1;2;2;1;2;1;2;1;1;1;2;1;1;2;1;2;1;1;3;3;3;4;4;2;ener;1;1;94;2
g22;2;2;2;2;1;1;1;2;1;2;1;1;2;1;2;1;1;1;1;1;1;2;2;1;2;2;1;2;1;2;2;1;a;2;1;1;1;2;1;2;1;2;1;1;2;2;2;1;1;2;2;1;2;3;3;3;5;4;2;energ;1;4;94;2
g23;2;2;2;2;2;2;3;1;2;1;1;1;2;2;3;2;1;1;1;1;1;3;1;1;2;2;1;1;1;2;2;1;1;2;2;1;1;1;1;1;1;1;2;1;2;2;2;1;2;1;2;1;2;3;b;b;b;b;2;enrg;b;b;b;b
g24;2;2;2;2;1;1;2;2;2;2;2;1;1;3;2;1;1;1;3;1;1;2;1;1;2;2;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;2;1;1;2;2;1;a;1;1;2;2;2;5;2;2;3;5;2;fir;1;4;93;1
g25;2;1;1;1;1;2;2;2;3;2;2;2;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;2;2;2;2;1;1;2;1;1;a;2;1;2;2;1;1;1;2;2;1;1;1;1;1;1;2;3;1;3;3;5;2;energ;1;2;94;2
g26;2;1;2;1;2;1;2;3;2;1;3;1;1;1;1;1;3;1;1;1;1;1;2;1;1;2;1;1;1;2;2;1;2;1;1;1;2;1;1;2;1;1;2;1;2;2;1;2;1;2;2;1;1;4;a;a;a;a;2;energ;3;4;95;2
g27;2;2;2;2;1;1;1;2;1;2;1;1;2;2;2;2;1;2;1;1;1;1;1;1;2;2;1;2;1;1;1;2;2;1;1;1;2;1;1;2;1;2;1;1;2;1;1;2;1;2;1;1;1;3;3;1;5;5;2;zarz;3;3;91;1
g28;2;3;2;2;2;3;2;1;2;2;3;3;3;2;1;1;3;1;1;3;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;2;1;1;2;1;1;1;1;2;1;2;2;1;1;2;1;2;a;a;a;a;a;2;energ;1;2;a;a
