id;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;w19;w20;w21;w22;w23;w24;w25;w26;w27;w28;w29;w30;państwo_oś;macierz_gospodarcze;macierz_społeczne;wykszt_ojca;wykszt_matki;rok_studiów;kierunek_studiów;praca;miejsc_pochodzenia;rok_urodzenia;płeć
23;2;1;1;1;1;1;2;2;1;1;2;1;1;2;1;1;1;2;2;2;2;1;1;1;2;1;2;1;1;2;2;1;2;1;1;1;1;2;1;2;2;1;1;1;1;2;1;1;1;2;1;1;2;3;4;3;4;5;3;EKO;3;4;1993;2
24;2;2;3;1;3;1;2;3;2;1;1;2;3;2;1;2;2;1;2;3;2;1;1;1;1;1;2;1;2;1;2;1;2;1;1;1;2;2;1;2;1;1;2;1;1;2;1;1;1;1;1;1;2;2;4;3;5;5;3;G. NAR;2;3;1992;2
25;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;2;1;2;2;3;3;2;1;1;1;2;1;1;2;2;1;1;1;1;1;2;2;1;2;1;1;1;1;1;2;2;1;1;1;1;2;2;3;4;3;5;4;3;G. NAR;3;5;1993;
26;2;2;2;2;2;1;1;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;2;2;1;1;2;1;1;2;4;3;2;5;4;1;KSIĘG.;2;5;1995;1
27;2;1;2;1;2;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;2;1;2;1;1;1;2;1;1;2;2;1;1;1;1;1;2;2;1;2;1;1;2;1;1;2;1;1;1;2;1;2;1;1;4;3;5;5;3;G. NAR;2;5;1992;2
28;1;2;2;1;2;1;2;1;1;1;1;1;1;2;1;2;2;1;2;2;2;1;2;1;;1;2;2;1;1;2;1;2;1;1;1;2;2;1;1;1;2;1;1;1;2;1;1;1;1;2;2;2;2;4;3;2;2;3;EKO;3;4;1993;2
29;1;2;2;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;2;1;1;2;2;1;2;4;3;3;3;4;1;KSIĘG.;1;4;1995;1
30;3;3;2;1;3;1;1;2;1;2;3;2;1;1;1;2;3;3;2;2;3;1;1;1;2;2;2;2;1;2;2;1;2;2;1;2;1;1;2;2;1;2;1;1;1;2;1;2;1;2;2;1;2;4;3;3;4;5;3;G. NAR;1;4;1992;1
31;1;1;1;2;1;1;1;2;2;2;1;2;1;2;1;2;2;2;2;1;2;1;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;1;;2;1;2;3;3;3;4;4;3;G. NAR;3;1;1992;2
32;2;2;3;1;2;1;2;2;1;1;1;2;3;3;1;2;2;1;3;2;2;1;1;1;2;;2;1;1;2;2;2;1;1;1;1;2;2;1;1;1;2;2;1;1;2;1;1;1;1;1;1;2;2;3;3;3;4;3;G. NAR;2;4;1993;1
